iter	Passed	Remaining
0	47	71259
1	73	55082
2	95	47643
3	120	44974
4	144	43096
5	167	41764
6	193	41282
7	219	40971
8	245	40624
9	270	40287
10	297	40224
11	323	40070
12	349	39981
13	374	39740
14	401	39699
15	427	39665
16	454	39614
17	479	39454
18	503	39283
19	531	39356
20	558	39318
21	585	39343
22	610	39226
23	636	39118
24	660	38998
25	686	38891
26	710	38764
27	739	38851
28	766	38874
29	792	38852
30	820	38876
31	844	38754
32	870	38699
33	896	38662
34	927	38812
35	955	38853
36	982	38846
37	1006	38707
38	1033	38709
39	1059	38669
40	1084	38608
41	1110	38552
42	1134	38439
43	1160	38416
44	1187	38387
45	1215	38421
46	1242	38418
47	1270	38421
48	1296	38392
49	1322	38341
50	1348	38320
51	1372	38224
52	1398	38174
53	1421	38056
54	1447	38027
55	1472	37957
56	1495	37865
57	1518	37759
58	1546	37768
59	1570	37686
60	1596	37655
61	1620	37575
62	1639	37405
63	1667	37407
64	1690	37327
65	1711	37180
66	1734	37107
67	1761	37094
68	1783	36991
69	1807	36930
70	1831	36868
71	1859	36878
72	1883	36810
73	1911	36835
74	1933	36732
75	1957	36674
76	1980	36600
77	2008	36608
78	2033	36576
79	2058	36545
80	2083	36505
81	2110	36500
82	2131	36394
83	2158	36382
84	2185	36388
85	2207	36292
86	2232	36258
87	2259	36246
88	2288	36275
89	2309	36180
90	2334	36144
91	2358	36097
92	2386	36101
93	2409	36044
94	2431	35953
95	2453	35888
96	2479	35858
97	2499	35762
98	2523	35713
99	2546	35650
100	2569	35597
101	2598	35618
102	2621	35559
103	2645	35508
104	2670	35481
105	2697	35473
106	2721	35427
107	2743	35366
108	2765	35290
109	2795	35320
110	2820	35295
111	2845	35267
112	2869	35216
113	2891	35154
114	2916	35120
115	2942	35101
116	2966	35069
117	2989	35010
118	3016	35009
119	3037	34925
120	3063	34916
121	3137	35438
122	3160	35378
123	3180	35291
124	3201	35215
125	3223	35147
126	3248	35119
127	3271	35067
128	3295	35019
129	3317	34966
130	3341	34920
131	3363	34853
132	3387	34814
133	3408	34743
134	3428	34668
135	3453	34637
136	3476	34589
137	3503	34573
138	3526	34525
139	3553	34517
140	3579	34497
141	3601	34445
142	3627	34419
143	3649	34361
144	3673	34326
145	3697	34289
146	3719	34238
147	3743	34197
148	3765	34139
149	3792	34133
150	3816	34095
151	3841	34069
152	3865	34028
153	3890	34007
154	3912	33953
155	3934	33899
156	3961	33890
157	3987	33870
158	4010	33828
159	4033	33779
160	4062	33786
161	4085	33747
162	4106	33686
163	4131	33654
164	4154	33613
165	4176	33564
166	4197	33501
167	4218	33450
168	4243	33421
169	4268	33390
170	4295	33382
171	4320	33360
172	4343	33318
173	4365	33269
174	4393	33264
175	4415	33219
176	4442	33208
177	4469	33198
178	4493	33161
179	4519	33142
180	4541	33096
181	4565	33060
182	4588	33019
183	4613	32994
184	4638	32970
185	4659	32915
186	4681	32870
187	4703	32826
188	4729	32804
189	4754	32781
190	4777	32744
191	4803	32725
192	4825	32681
193	4852	32668
194	4877	32642
195	4899	32596
196	4923	32562
197	4947	32535
198	4972	32510
199	4998	32490
200	5022	32461
201	5045	32422
202	5071	32402
203	5092	32353
204	5119	32337
205	5143	32310
206	5168	32286
207	5194	32267
208	5221	32253
209	5243	32209
210	5265	32166
211	5296	32175
212	5320	32149
213	5342	32107
214	5368	32086
215	5391	32049
216	5414	32012
217	5445	32023
218	5469	31991
219	5495	31974
220	5518	31940
221	5544	31918
222	5567	31880
223	5590	31844
224	5612	31804
225	5637	31776
226	5662	31753
227	5690	31746
228	5716	31725
229	5739	31689
230	5761	31653
231	5789	31644
232	5812	31609
233	5838	31587
234	5864	31569
235	5889	31543
236	5914	31516
237	5942	31507
238	5965	31475
239	5989	31445
240	6014	31417
241	6038	31388
242	6060	31348
243	6080	31299
244	6106	31280
245	6134	31270
246	6162	31263
247	6188	31242
248	6213	31217
249	6235	31177
250	6262	31162
251	6288	31143
252	6313	31116
253	6339	31097
254	6363	31069
255	6385	31030
256	6413	31018
257	6435	30981
258	6460	30957
259	6486	30936
260	6510	30907
261	6530	30859
262	6554	30828
263	6578	30800
264	6600	30762
265	6625	30736
266	6649	30707
267	6674	30680
268	6699	30658
269	6725	30639
270	6754	30629
271	6780	30612
272	6807	30597
273	6830	30563
274	6856	30543
275	6880	30513
276	6905	30489
277	6925	30440
278	6950	30418
279	6976	30398
280	7002	30376
281	7029	30363
282	7053	30334
283	7074	30292
284	7097	30258
285	7123	30236
286	7146	30205
287	7171	30178
288	7196	30157
289	7220	30126
290	7244	30098
291	7272	30086
292	7296	30057
293	7319	30022
294	7342	29990
295	7366	29964
296	7391	29938
297	7417	29918
298	7442	29896
299	7463	29853
300	7490	29837
301	7511	29795
302	7535	29770
303	7561	29748
304	7586	29725
305	7609	29693
306	7637	29679
307	7661	29651
308	7688	29632
309	7711	29602
310	7731	29560
311	7755	29528
312	7780	29507
313	7801	29466
314	7827	29448
315	7853	29425
316	7877	29396
317	7900	29364
318	7921	29327
319	7944	29295
320	7969	29270
321	7990	29234
322	8014	29205
323	8036	29169
324	8058	29135
325	8079	29094
326	8103	29069
327	8130	29053
328	8155	29027
