iter	Logloss
0	0.6822817042
1	0.671678578
2	0.6611318486
3	0.6521554289
4	0.6434763874
5	0.6346895253
6	0.6266257514
7	0.6197279829
8	0.6137242089
9	0.6066578694
10	0.6003125765
11	0.5941123136
12	0.5879612055
13	0.5830819777
14	0.5780523673
15	0.573725482
16	0.5688219882
17	0.5647055919
18	0.5604269012
19	0.5564753076
20	0.5529468974
21	0.5491567591
22	0.545459319
23	0.5423244698
24	0.5392012635
25	0.5364266904
26	0.5338015072
27	0.5310352198
28	0.5279361122
29	0.5259219685
30	0.5236795849
31	0.5214013383
32	0.5192546758
33	0.5174806582
34	0.5155706431
35	0.5133629257
36	0.5116370736
37	0.5100708422
38	0.5083950609
39	0.5068279363
40	0.5052736438
41	0.5039087397
42	0.5022511898
43	0.5009281195
44	0.4994113682
45	0.4979533252
46	0.4965634209
47	0.4954707256
48	0.4941577943
49	0.4930736306
50	0.4919085867
51	0.4905927913
52	0.4896361059
53	0.4885012356
54	0.4873502396
55	0.4864460568
56	0.4854017892
57	0.4843694618
58	0.4837296699
59	0.4826755856
60	0.4817800768
61	0.4809617794
62	0.4801679999
63	0.4792499522
64	0.4783883634
65	0.4776076998
66	0.4767105716
67	0.4758807476
68	0.4752006474
69	0.4744277291
70	0.4737560922
71	0.4730948911
72	0.4723727919
73	0.4717128288
74	0.4710468385
75	0.4704312821
76	0.4696836576
77	0.468967613
78	0.4683750481
79	0.4678004487
80	0.4670046775
81	0.4665858028
82	0.466109931
83	0.4655360488
84	0.4650943173
85	0.4646123964
86	0.464105424
87	0.4634791574
88	0.4629882869
89	0.4625115731
90	0.4621570776
91	0.4617512748
92	0.4613612126
93	0.4609437441
94	0.4605639752
95	0.4601573619
96	0.4596538484
97	0.459350245
98	0.4588081183
99	0.458454694
100	0.4580692826
101	0.4576402121
102	0.457218301
103	0.4567538762
104	0.4564622795
105	0.4560400911
106	0.4556776031
107	0.45524183
108	0.4548259727
109	0.4545263995
110	0.4540957762
111	0.4537100633
112	0.4534316046
113	0.4530190582
114	0.4526205457
115	0.4523361508
116	0.4520464515
117	0.4516188992
118	0.4512929483
119	0.4509452432
120	0.450555498
121	0.4501498844
122	0.4497586551
123	0.4494746914
124	0.4491589249
125	0.4488078698
126	0.4484609818
127	0.4480852849
128	0.4478086642
129	0.4476540687
130	0.4473220422
131	0.4469995163
132	0.4467031714
133	0.4464585774
134	0.4461250409
135	0.4459100909
136	0.445577642
137	0.4453169432
138	0.445070118
139	0.4447345236
140	0.4444102498
141	0.4441175977
142	0.4439753705
143	0.4436974926
144	0.4433975933
145	0.4431418124
146	0.4428843203
147	0.4427169198
148	0.4424917155
149	0.4422787523
150	0.442097095
151	0.4418137434
152	0.4415837998
153	0.4413349936
154	0.4410442578
155	0.4408046894
156	0.4406608202
157	0.4403825546
158	0.4402044791
159	0.4399705097
160	0.4397782732
161	0.4395246632
162	0.4393884322
163	0.4392348557
164	0.4391139442
165	0.4388509581
166	0.4386199731
167	0.438359127
168	0.4381900404
169	0.4379623125
170	0.4376968057
171	0.4375096994
172	0.4373332715
173	0.4371866441
174	0.4368697769
175	0.43666963
176	0.4365197591
177	0.4363322399
178	0.4361354951
179	0.4358914096
180	0.4356117029
181	0.4353857301
182	0.4352499416
183	0.4350339117
184	0.4348660543
185	0.4346763148
186	0.4344952622
187	0.4343237958
188	0.4341236931
189	0.4339131427
190	0.4337459418
191	0.4335731263
192	0.4332780698
193	0.433098751
194	0.4329437854
195	0.4326885065
196	0.4325548035
197	0.4324121721
198	0.4322148952
199	0.4320554982
200	0.4318087466
201	0.4316236754
202	0.4313815428
203	0.4311916683
204	0.4309860341
205	0.4308136777
206	0.4306733251
207	0.4304438819
208	0.4302354467
209	0.430033425
210	0.4298540816
211	0.4296821195
212	0.429562218
213	0.429470791
214	0.4293369988
215	0.4292192342
216	0.4290246132
217	0.4289127361
218	0.4287570834
219	0.4286194728
220	0.4283207919
221	0.4281722978
222	0.4280220093
223	0.4278010318
224	0.4277019511
225	0.4274806899
226	0.4273225001
227	0.4272053816
228	0.4270681734
229	0.4269582107
230	0.426813583
231	0.4265605095
232	0.4263863454
233	0.4261485538
234	0.4259172451
235	0.4258126031
236	0.4256766425
237	0.4255590506
238	0.4253386976
239	0.4251026147
240	0.4249793594
241	0.4248109913
242	0.424628392
243	0.4245278717
244	0.424272757
245	0.4241155678
246	0.4239252219
247	0.4237834097
248	0.4236255075
249	0.423364424
250	0.4232259913
251	0.4229837043
252	0.4228166578
253	0.4226786918
254	0.4225169972
255	0.4223930982
256	0.42221889
257	0.4220252047
258	0.4218157609
259	0.4216955031
260	0.421475625
261	0.4213234458
262	0.4212151356
263	0.4211457267
264	0.4209830507
265	0.4208153097
266	0.4206632849
267	0.4205229405
268	0.4203461003
269	0.4202231535
270	0.4200590226
271	0.4198825245
272	0.4196412275
273	0.4194239642
274	0.419304935
275	0.4192251953
276	0.4190371932
277	0.4188496342
278	0.4186967475
279	0.4184764245
280	0.4181689744
281	0.4180918489
282	0.4179893836
283	0.417774768
284	0.4176429792
285	0.4174513853
286	0.4173752267
287	0.4172003073
288	0.4171310798
289	0.4168290507
290	0.4165716558
291	0.4164374506
292	0.4162095569
293	0.4159093271
294	0.4157064024
295	0.415608908
296	0.4154721647
297	0.4153127265
298	0.4151865554
299	0.4150244797
300	0.4148524416
301	0.4146485711
302	0.4144474939
303	0.4142746238
304	0.4140322158
305	0.413880678
306	0.4135625114
307	0.4133306745
308	0.4131318052
309	0.412900295
310	0.412688531
311	0.4124117048
312	0.4122715327
313	0.4120948438
314	0.4118920403
315	0.4117547221
316	0.4115705035
317	0.4113908929
318	0.4112399766
319	0.4110290452
320	0.4107684283
321	0.4106048888
