iter	Passed	Remaining
0	59	59201
1	131	65527
2	205	68327
3	286	71429
4	357	71217
5	430	71241
6	501	71145
7	578	71736
8	653	71933
9	724	71700
10	792	71227
11	866	71372
12	933	70850
13	1005	70847
14	1077	70736
15	1151	70820
16	1228	71023
17	1303	71101
18	1376	71071
19	1454	71263
20	1523	71030
21	1597	71005
22	1680	71376
23	1752	71253
24	1831	71437
25	1904	71330
26	1976	71235
27	2055	71340
28	2128	71251
29	2202	71217
30	2274	71098
31	2360	71396
32	2444	71640
33	2519	71594
34	2593	71505
35	2672	71573
36	2750	71580
37	2824	71499
38	2895	71348
39	2969	71274
40	3045	71223
41	3118	71121
42	3194	71106
43	3271	71072
44	3343	70952
45	3418	70891
46	3488	70739
47	3559	70600
48	3634	70539
49	3705	70412
50	3777	70299
51	3855	70283
52	3924	70130
53	4004	70146
54	4081	70124
55	4147	69912
56	4219	69806
57	4289	69675
58	4359	69523
59	4434	69470
60	4504	69346
61	4580	69291
62	4661	69332
63	4739	69318
64	4814	69255
65	4893	69246
66	4964	69128
67	5041	69091
68	5112	68980
69	5182	68858
70	5263	68864
71	5333	68737
72	5408	68682
73	5489	68694
74	5567	68661
75	5639	68566
76	5721	68580
77	5799	68554
78	5872	68458
79	5975	68722
80	6047	68608
81	6117	68483
82	6189	68386
83	6260	68269
84	6333	68181
85	6400	68027
86	6472	67925
87	6553	67914
88	6622	67790
89	6694	67684
90	6770	67631
91	6846	67574
92	6918	67473
93	6989	67370
94	7063	67285
95	7136	67198
96	7207	67096
97	7273	66943
98	7355	66939
99	7426	66839
100	7498	66745
101	7574	66686
102	7648	66606
103	7715	66474
104	7787	66380
105	7863	66320
106	7929	66175
107	7987	65971
108	8049	65800
109	8120	65705
110	8202	65697
111	8276	65623
112	8350	65548
113	8430	65519
114	8502	65429
115	8586	65435
116	8657	65338
117	8737	65310
118	8816	65274
119	8894	65228
120	8960	65093
121	9032	65005
122	9112	64969
123	9183	64875
124	9258	64806
125	9341	64798
126	9425	64788
127	9499	64714
128	9573	64636
129	9656	64622
130	9727	64528
131	9798	64430
132	9870	64343
133	9944	64266
134	10010	64144
135	10085	64072
136	10157	63983
137	10230	63902
138	10303	63822
139	10343	63540
140	10424	63506
141	10499	63443
142	10575	63376
143	10647	63293
144	10721	63220
145	10774	63022
146	10842	62918
147	10918	62857
148	10993	62786
149	11064	62700
150	11138	62625
151	11218	62585
152	11295	62531
153	11366	62441
154	11442	62380
155	11512	62286
156	11580	62181
157	11651	62094
158	11724	62014
159	11791	61905
160	11856	61788
161	11928	61703
162	11952	61375
163	12015	61250
164	12082	61146
165	12163	61109
166	12235	61028
167	12305	60942
168	12373	60844
169	12444	60759
170	12515	60673
171	12580	60564
172	12650	60473
173	12720	60387
174	12788	60287
175	12861	60217
176	12939	60164
177	13022	60138
178	13096	60067
179	13166	59981
180	13247	59942
181	13313	59835
182	13382	59745
183	13453	59664
184	13525	59585
185	13597	59506
186	13669	59429
187	13752	59401
188	13824	59320
189	13893	59232
190	13966	59156
191	14036	59068
192	14104	58977
193	14182	58924
194	14250	58830
195	14323	58756
196	14393	58668
197	14462	58579
198	14536	58512
199	14611	58447
200	14706	58460
201	14776	58372
202	14849	58302
203	14919	58214
204	14990	58132
205	15064	58064
206	15129	57961
207	15194	57857
208	15265	57774
209	15332	57678
210	15395	57570
211	15462	57474
212	15538	57411
213	15603	57310
214	15678	57245
215	15749	57166
216	15811	57053
217	15880	56967
218	15914	56755
219	15984	56672
220	16063	56620
221	16130	56531
222	16193	56421
223	16225	56210
224	16308	56173
225	16378	56091
226	16445	56000
227	16513	55914
228	16581	55825
229	16649	55738
230	16719	55659
231	16793	55591
232	16869	55532
233	16940	55453
234	17011	55379
235	17083	55303
236	17150	55213
237	17218	55127
238	17293	55065
239	17364	54986
240	17434	54909
241	17503	54825
242	17573	54744
243	17646	54674
244	17717	54599
245	17789	54524
246	17867	54470
247	17936	54389
248	18012	54327
249	18126	54378
250	18191	54285
251	18265	54215
252	18335	54135
253	18405	54056
254	18477	53984
255	18547	53903
256	18617	53823
257	18689	53751
258	18759	53671
259	18833	53603
260	18913	53552
261	18983	53471
262	19050	53384
263	19118	53299
264	19186	53214
265	19251	53123
266	19323	53048
267	19389	52958
268	19452	52861
269	19517	52770
270	19578	52667
271	19648	52588
272	19714	52499
273	19782	52415
274	19850	52332
275	19916	52245
276	19989	52174
277	20057	52092
278	20121	51997
279	20187	51911
280	20258	51836
281	20323	51746
282	20390	51659
283	20463	51591
284	20528	51501
285	20595	51416
286	20663	51335
287	20728	51245
288	20799	51172
289	20869	51094
290	20938	51016
291	21012	50947
292	21081	50869
293	21152	50794
294	21229	50734
295	21297	50652
296	21367	50576
297	21442	50511
298	21515	50443
299	21583	50361
300	21655	50290
301	21725	50212
302	21791	50126
303	21856	50040
304	21924	49959
305	21997	49890
306	22081	49846
307	22151	49769
308	22221	49693
309	22290	49614
310	22388	49600
311	22459	49526
312	22523	49436
313	22597	49369
314	22668	49295
315	22740	49222
316	22808	49142
317	22893	49098
318	22976	49050
319	23041	48962
320	23106	48877
321	23169	48786
322	23233	48696
323	23301	48617
324	23377	48552
325	23440	48463
326	23505	48375
327	23571	48293
328	23645	48225
329	23720	48159
330	23788	48080
331	23851	47989
332	23920	47912
333	23989	47834
334	24055	47752
335	24122	47670
336	24188	47587
337	24259	47514
338	24324	47429
339	24392	47350
340	24466	47282
341	24539	47214
342	24605	47131
343	24672	47049
344	24743	46976
345	24812	46900
346	24885	46830
347	24985	46812
348	25044	46715
349	25111	46635
350	25179	46557
351	25253	46489
352	25325	46418
353	25393	46338
354	25463	46264
355	25531	46186
